KEY,en,notes,sp,fr,de,it,pt-br,ja
ABILITY_EXPLOSIVESHOT_NAME,Explosive Shot,,Tiro explosivo,Tir explosif,Explosivschuss,Colpo Esplosivo,Disparo Explosivo,爆発ショット
ABILITY_EXPLOSIVESHOT_DESC,Lob a puke projectile that does splash damage to neighboring units.,,Lanza un proyectil de vómito que inflige daño por metralla a las unidades cercanas.,Lance un projectile de vomi qui inflige des dégâts de zone aux unités adjacentes.,"Ein Kotzgeschoss, das Hindernisse ignoriert und bei benachbarten Einheiten Flächenschaden verursacht.",Spari un proiettile di vomito che infligge danno ad area alle unità vicine.,Lance um projétil de vômito em arco que causa dano de propagação em unidades vizinhas.,吐瀉物の​飛び道具を​放ち、​周囲の​ユニットに​スプラッシュダメージを​与えるにゃ。[b][/b]
EABILITY_DOUBLEHIT_NAME,Double Hit,,Doble golpe,Coup double,Doppelschlag,Colpo Doppio,Golpe Duplo,ダブルヒット
EABILITY_DOUBLEHIT_DESC,A melee attack that hits twice.,,Un ataque cuerpo a cuerpo que golpea 2 veces.,Une attaque au corps-à-corps qui touche deux fois.,"Ein Nahkampfangriff, der zweimal trifft.",Un attacco corpo a corpo che colpisce due volte.,Um ataque corpo-a-corpo que golpeia duas vezes.,2回当てる近接攻撃。
EABILITY_FLESHLAD_UPPERCUT_NAME,Uppercut,,Gancho,Uppercut,Kinnhaken,Montante,Upper,アッパーカット
EABILITY_FLESHLAD_UPPERCUT_DESC,"Punch a unit, knocking it back 3 tiles and inflicting Bruise.
[s:.7](Castable once per turn.)[/s]",,Le da un puñetazo a una unidad que la hace retroceder 3 casillas y le inflige moratón.[s:.7](Se puede lanzar una vez por turno).[/s],Un coup de poing qui repousse une unité de 3&nbsp;cases et lui inflige Contusion. [s:.7](Une fois par tour.)[/s],"Schlag eine Einheit, stoße sie 3&nbsp;Felder zurück und verursache Beulen bei ihr.[s:.7](Einmal pro Zug verwendbar.)[/s]","Colpisci un'unità, respingendola indietro di 3 caselle e infliggendole Livido.[s:.7](Lanciabile una volta per turno.)[/s]","Soque uma unidade, empurrando-a 3 espaços para trás e aplicando contusão.[s:.7](Um lançamento por turno.)[/s]",ユニットを​パンチして​3タイル後ろに​ノックバックさせ、​ダメージ軽減を​与える。[s:.7](ターンに​1回使用可能。)[/s]
FAMILIAR_PHANTOMMASK_DESC,Invulnerable. Attack it to knock it foward in a straight line. It deals 5 damage to units it hits.,same as OBJECT_PETROCK_DESC but with the Invulnerable mention added to the beginning,Invulnerable. Se desplaza hacia delante en línea recta cuando la atacan. Inflige 5 de daño a las unidades que golpea.,Invulnérable. L'attaquer le projette en ligne droite. Inflige 5&nbsp;dégâts aux unités qu'il touche.,"Unverwundbar. Greif ihn an, um ihn in einer geraden Linie nach vorn zu schleudern. Verursacht 5&nbsp;Schaden bei Einheiten, die er trifft.",Invulnerabile. Attaccala per proiettarla in avanti in linea retta. Infligge 5 di danno alle unità che colpisce.,Invulnerável. Ataque-a para empurrá-la para frente em linha reta. Causa 5 de dano nas unidades que forem acertadas.,無敵。​攻撃すると​直線上に​前方に​吹き飛ぶ。​当たった​ユニットに​5ダメージを​与える。[b][/b]
FAMILIAR_FLY_STEEL_DESC,Invulnerable.,,Invulnerable.,Invulnérable.,Unverwundbar.,Invulnerabile.,Invulnerabilidade.,無敵。
FAMILIAR_FLESHLAD_DESC,"Gains an extra attack per turn each time it takes damage.
Gains Speed at the end of its turn.",same as ENEMY_FLESHLAD_DESC but without the first sentence about how it attacks,Obtiene un ataque extra por turno cada vez que sufre daño.Obtiene velocidad al final del turno.,Gagne une attaque supplémentaire par tour chaque fois qu'il subit des dégâts.Gagne en vitesse à la fin de son tour.,"Erhält jedes Mal, wenn er Schaden erleidet, einen zusätzlichen Angriff pro Zug.Erhält am Ende seines Zuges Geschwindigkeit.",Ottiene un attacco aggiuntivo per turno ogni volta che subisce danno.Ottiene Velocità alla fine del suo turno.,Obtém um ataque adicional por turno a cada vez que sofre dano.Obtém velocidade no final de seu turno.,ダメージを​受ける​たびに​ターンごとの​追加攻撃が​増える。​ターン終了時に​素早さを​獲得する。[b][/b]
,,,,,,,,
ITEM_THEBLACKBOX_NAME,the box,,la caja,La boîte,die box,la scatola,a caixa,その​箱
ITEM_THEBLACKBOX_DESC,Use: Find and equip a random item into one of your empty item slots.,,Uso: Encuentra y equipa un objeto al azar en uno de los espacios de objeto vacíos.,Utilisation&nbsp;: trouvez et équipez un objet aléatoire dans l'un de vos emplacements d'objet vides.,Benutzen: Finde einen zufälligen Gegenstand und rüste ihn aus.,Uso: Trova ed equipaggia un oggetto casuale in uno dei tuoi slot oggetto vuoti.,Uso: encontre e equipe um item aleatório em de seus espaços vazios de itens.,使用:​空いている​アイテムスロットの​1つに​ランダムな​アイテムを​見つけて​装備する。[b][/b]
,,,,,,,,
ITEM_UNSTABLEDNA_NAME,Unstable DNA,,ADN inestable,ADN instable,Instabile DNA,DNA Instabile,DNA Instável,不安定な​DNA
ITEM_UNSTABLEDNA_DESC,"Use: Gain 6 random stat ups and 3 random stat downs, then gain 3 Mutations at the end of combat.",,"Uso: Obtiene 6 aumentos de atributo al azar y 3 reducciones de atributo al azar. Luego, obtiene 3 mutaciones al final del combate.","Utilisation&nbsp;: vous obtenez 6&nbsp;hausses de stats aléatoires et 3&nbsp;baisses de stats aléatoires, puis 3&nbsp;mutations à la fin du combat.",Benutzen: Erhalte am Ende des Kampfes 6&nbsp;Boni und 3&nbsp;Malusse auf zufällige Attribute. Erhalte anschließend 3&nbsp;Mutationen.,"Uso: Ottieni 6 potenziamenti casuali alle statistiche e 3 riduzioni casuali alle statistiche, poi ottieni 3 Mutazioni alla fine del combattimento.","Uso: obtenha 6 atributos aleatórios aumentados e 3 atributos aleatórios diminuídos, e então obtenha 3 mutações no final do combate.",使用:ランダムな​ステータス上昇を​6つと​ランダムな​ステータス低下を​3つ​獲得し、​戦闘終了時に​ミューテーションを​3つ獲得する。[b][/b]
ITEM_REDPILL_NAME,Red Pill,,Pastilla roja,Pilule rouge,Rote Pille,Pillola Rossa,Pílula Vermelha,赤いピル
ITEM_REDPILL_DESC,"Use: 50% chance to get Chungus (+4 [img:con]), otherwise take 8 damage.",see DISORDER_CHUNGUS_NAME,"Uso: 50 % de probabilidad de sufrir chungus (+4 [img:con]); si no, sufre 8 de daño.","Utilisation&nbsp;: 50&nbsp;% de chances d'obtenir le trouble Énorme ([img:con] +4). Dans le cas contraire, vous subissez 8 dégâts.","Benutzen: 50%ige Wahrscheinlichkeit, Fettmops (+4&nbsp;[img:con]) zu erhalten. Erleide sonst 8&nbsp;Schaden.","Uso: 50% di probabilità di ottenere Tracagnotto (+4 [img:con]), altrimenti subisci 8 di danno.","Uso: 50% de chance de obter enormidade (+4 de [img:con]), ou então sofra 8 de dano.",使用:50%の​確率で​チャンガス([img:con]+4)を​獲得、​そうでなければ​8ダメージを​受ける。
DISORDER_CHUNGUS_NAME,Chungus,slang for something big and/or fat,Chungus,Énorme,Fettmops,Tracagnotto,Enormidade,チャンガス
DISORDER_CHUNGUS_DESC,,purposely empty,,,,,,
,,,,,,,,
QEVENT_MEATALTAR_REW2B,"{Catname} lies sacrificed on top of the altar. The altar is pleased. The remaining cats feel strengthened, and one of them begrudgingly pulls on {catname}'s corpse, salvaging it for useful parts.","(just the same text as the other one minus the ""its pleased but not satisfied"" for after the altar's main desire has been completed)","El cuerpo sacrificado de {Catname} yace sobre el altar, que está conforme.Los otros gatos se sienten fortalecidos. A regañadientes, uno de ellos coge el cadáver de {catname} en busca de algo que pueda aprovecharse.","{Catname} s'est fait sacrifier sur l'autel. Celui-ci est satisfait. Les chats restants se sentent plus forts, et l'un d'eux, à contrecœur, dépiaute le cadavre pour en tirer des pièces utiles.",{Catname} liegt als Opfer auf dem Altar. Der Altar ist besänftigt.Die verbleibenden Katzen fühlen sich stärker. Eine von ihnen durchsucht zögerlich die Leiche von {catname} und nimmt alles Nützliche mit.,"{Catname} giace in cima all'altare dopo il sacrificio. L'altare è compiaciuto.I gatti rimasti si sentono rinvigoriti, e uno di loro tira via il cadavere di {catname} a malincuore, recuperando le parti ancora utili.","{Catname} jaz sobre o altar após seu sacrifício. O altar foi agraciado.Os gatos restantes se sentem fortalecidos, e um deles relutantemente puxa o corpo de {catname}, recuperando-o para salvar suas partes úteis.",{Catname}が​祭壇の​上で​犠牲に​なったにゃ。​祭壇は​満足しているにゃ。​残りの​猫たちは​強くなった​感じが​したにゃ。​そして​1匹が{catname}の​死体を​引っ張って​有用な​部品を​回収したにゃ。[b][/b]
QEVENT_MEATALTAR_REW2B_M,,,,,,,,
QEVENT_MEATALTAR_REW2B_F,,,,,,,,
QEVENT_MEATALTAR_REW2B_N,,,,,,,,{Catname}が​祭壇の​上で​犠牲に​なったにゃ。​祭壇は​満足しているにゃ。​残りの​猫たちは​強くなった​感じが​したにゃ。​そして​1匹が{catname}の​死体を​引っ張って​有用な​部品を​回収したにゃ。[b][/b]
QEVENT_MEATALTAR_REW3B,{Catname} lies sacrificed on top of the altar. The altar is pleased.The remaining cats feel great though!,"(just the same text as the other one minus the ""its pleased but not satisfied"" for after the altar's main desire has been completed)","El cuerpo sacrificado de {Catname} yace sobre el altar, que está conformeEso sí, ¡los otros gatos se sienten genial!","{Catname} s'est fait sacrifier sur l'autel. Celui-ci est satisfait. À part ça, les autres chats pètent le feu&nbsp;!",{Catname} liegt als Opfer auf dem Altar. Der Altar ist besänftigt.Die verbleibenden Katzen fühlen sich großartig!,{Catname} giace in cima all'altare dopo il sacrificio. L'altare è compiaciuto.Gli altri gatti però si sentono alla grande!,{Catname} jaz sobre o altar após seu sacrifício. O altar foi agraciado.Os gatos restantes estão se sentindo ótimos!,{Catname}が​祭壇の​上で​犠牲に​なったにゃ。​祭壇は​満足しているにゃ。​残りの​猫たちは​最高の​気分にゃ![b][/b]
QEVENT_MEATALTAR_REW3B_M,,,,,,,,
QEVENT_MEATALTAR_REW3B_F,,,,,,,,
QEVENT_MEATALTAR_REW3B_N,,,,,,,,{Catname}が​祭壇の​上で​犠牲に​なったにゃ。​祭壇は​満足しているにゃ。​残りの​猫たちは​最高の​気分にゃ![b][/b]
,,,,,,,,
CUTSCENE_OBELISK1_CORE_POPUP,"One obelisk is raised, but the one on the moon remains buried.",,"Se eleva un obelisco, pero el que está en la luna permanece enterrado.","Un obélisque est érigé, mais celui sur la lune reste enterré.","Ein Obelisk wurde errichtet, doch sein Gegenstück auf dem Mond bleibt vergraben.","Un obelisco si innalza, ma quello sulla luna rimane sepolto.","Um obelisco é erguido, mas o da Lua permanece enterrado.",1つの​オベリスクが​起動したにゃ。​でも​月の​オベリスクは​まだ​埋まったままにゃ。[b][/b]
CUTSCENE_OBELISK1_MOON_POPUP,"One obelisk is raised, but the one in the core remains buried.",,"Se eleva un obelisco, pero el que está en el núcleo permanece enterrado.","Un obélisque est érigé, mais celui dans le noyau reste enterré.","Ein Obelisk wurde errichtet, doch sein Gegenstück im Kern bleibt vergraben.","Un obelisco si innalza, ma quello nel nucleo rimane sepolto.","Um obelisco é erguido, mas o do Núcleo permanece enterrado.",1つの​オベリスクが​起動したにゃ。​でも​地核の​オベリスクは​まだ​埋まったままにゃ。[b][/b]
CUTSCENE_OBELISK2_POPUP,"Both obelisks have connected, but still await activation.",,"Ambos obeliscos se han conectado, pero aún hay que activarlos.","Les deux obélisques sont connectés, mais attendent encore d'être activés.",Die Obelisken wurden verbunden. Sie warten auf ihre Aktivierung.,"Entrambi gli obelischi sono collegati, ma attendono ancora di essere attivati.","Os obeliscos estão conectados, porém ainda aguardam sua ativação.",2つの​オベリスクが​繋がったにゃ。​でも​まだ​起動を​待っているにゃ。[b][/b]
,,,,,,,,
NPCOFFICE_NAME_BEANIES,Dr. Beanies's Lab,,Laboratorio del Dr. Beanies,Labo du Dr Beanies,Dr. Beanies Labor,Laboratorio del Dottor Beanies,Laboratório do Dr. Beanies,ドクター・ビーニーズの​研究室
NPCOFFICE_NAME_BUTCH,Butch's Hideout,,Guarida de Butch,Planque de Butch,Unterschlupf von Butch,Nascondiglio di Butch,Esconderijo de Butch,ブッチの​隠れ家
NPCOFFICE_NAME_TINK,Tink's Trailer,,Caravana de Tink,Caravane de Tink,Tinks Wohnwagen,Roulotte di Tink,Trailer de Tink,ティンクの​トレーラー
NPCOFFICE_NAME_FRANK,Frank's Sewer,,Alcantarilla de Frank,Égouts de Frank,Franks Kanalisation,Fogna di Frank,Esgoto de Frank,フランクの​下水道
NPCOFFICE_NAME_JACK,Jack's Shack,,Chabola de Jack,Taudis de Jack,Jacks Hütte,Baracca di Jack,Cabana de Jack,ジャックの​小屋
NPCOFFICE_NAME_TRACY,P Mart,,MercaMascota,Patoune Market,P-Markt,P Mart,P Mart,Pマート
NPCOFFICE_NAME_ORGANGRINDER,{organname}'s Box,,Caja de {organname},Boîte ({organname}),Box von {organname},Scatola di {organname},Caixa de {organname},{organname}の​箱
NPCOFFICE_NAME_STEVEN,The Box,,La Caja,La Boîte,Die Box,La Scatola,A Caixa,その​箱
,,,,,,,,
NPCMAP_NAME_HOME,Home,,Casa,Maison,Haus,Casa,Casa,ホーム
NPCMAP_NAME_TRASH,Trash,,Basura,Poubelle,Müll,Spazzatura,Lixo,ゴミ
NPC_NAME_BEANIES,Dr. Beanies,,Dr. Beanies,Dr Beanies,Dr. Beanies,Dr. Beanies,Dr. Beanies,ドクター・ビーニーズ
NPC_NAME_BUTCH,Butch,,Butch,Butch,Butch,Butch,Butch,ブッチ
NPC_NAME_TINK,Tink,,Tink,Tink,Tink,Tink,Tink,ティンク
NPC_NAME_FRANK,Frank,,Frank,Franck,Frank,Frank,Frank,フランク
NPC_NAME_JACK,Baby Jack,,Bebé Jack,Bébé Jack,Baby Jack,Baby Jack,Bebê Jack,ベビー・ジャック
NPC_NAME_TRACY,Tracy,,Tracy,Tracy,Tracy,Tracy,Tracy,トレイシー
NPC_NAME_ORGANGRINDER,{organname},,{organname},{organname},{organname},{organname},{organname},{organname}
NPC_NAME_STEVEN,Steven,,Steven,Steven,Steven,Steven,Steven,スティーブン
,,,,,,,,
NPC_MORETIPS_BUTTON,Another Tip!,,¡Otro consejo!,Une autre astuce&nbsp;!,Noch ein Tipp!,Un altro consiglio!,Outra dica!,もう​1つの​ヒントにゃ!
,,,,,,,,
KEYWORD_TRAMPLE_NAME,Trample,,Pisotón,Piétinement,Trampel,Calpestamento,Atropelamento,踏みつけ
KEYWORD_TRAMPLE_DESC_STACKLESS,"You can move through other units, damaging and displacing them.",,Se puede mover sobre otras unidades; les inflige daño y las desplaza.,"Vous pouvez traverser les autres unités, en leur infligeant des dégâts et en les repoussant.",Du kannst dich durch andere Einheiten bewegen. Dabei stößt du sie zur Seite und fügst ihnen Schaden zu.,"Puoi muoverti attraverso le altre unità, infliggendo danno e spostandole.","Você pode se mover através de unidades, deslocando-as e causando dano.",他の​ユニットを​通り抜けて​移動でき、​ダメージを​与えて​押しのける。[b][/b]
,,,,,,,,
COMBAT_POPUP_QUESTFAILED,Quest Failed!,,¡Fracaso en la misión!,Échec de la quête&nbsp;!,Quest fehlgeschlagen!,Missione fallita!,A missão falhou!,クエスト失敗にゃ!
,,,,,,,,
CREDITS_THANKSFORPLAYING,thanks for playingMEWGENICS!,"(in the credits roll: ed's handwriting font uses smallcaps for lowercase, so all-lowercase lines are correct)",¡Gracias por jugar aMEWGENICS!,Merci d'avoir joué àMEWGENICS&nbsp;!,"vielen dank, dass du MEWGENICSgespielt hast!",Grazie per aver giocato aMEWGENICS!,obrigado por jogarMEWGENICS!,プレイしてくれて​ありがとにゃ
CREDITS_AGAMEBY,a game by,the credits roll is a big animation with a lot of separate text boxes in it. boxes with only names are not included in this sheet,Un juego de,Un jeu de,ein spiel von,un gioco di,um jogo por,ゲーム制作
CREDITS_EDLINE,art + design,,Arte y diseño,Art et conception,kunst + design,grafica + design,arte + design,アート + デザイン
CREDITS_TYLERLINE,programming + design,,Programación y diseño,Programmation et conception,programmierung + design,programmazione + design,programação + design,プログラミング + デザイン
CREDITS_RIDCULONLINE,Featuring Music by...RIDICULON!,,¡Con música deRIDICULON!,Avec la musique de...RIDICULON&nbsp;!,Mit Musik von&nbsp;…RIDICULON!,Con musiche di...RIDICULON!,Apresentando a música de...RIDICULON!,音楽担当...RIDICULON!
CREDITS_JOEYLINE,Sound Effects by,,Efectos de sonido de,Effets sonores,Soundeffekte von,Effetti sonori di,Efeitos sonoros por,サウンドエフェクト
CREDITS_EDITING,Editing by,,Edición de,Édition,Editing von,Editing di,Edição por,編集
CREDITS_AND,and,,y,et,und,e,e,および
CREDITS_ANIMATIONLINEA,animation by,,Animación de,Animation,animationen von,animazioni di,animação por,アニメーション
CREDITS_ANIMATIONLINEB,additional animation by,,Animación adicional de,Animation supplémentaire,weitere animationen von,animazioni aggiuntive di,animação adicional por,追加アニメーション
CREDITS_ADDITIONALANIMATIONS,Kaylan Peattie and Tina Tomar,"(this is here because theres an ""and"" in the middle of the line)",Kaylan Peattie y Tina Tomar,Kaylan Peattie et Tina Tomar,Kaylan Peattie und Tina Tomar,Kaylan Peattie e Tina Tomar,Kaylan Peattie e Tina Tomar,Kaylan Peattieと​Tina Tomar[b][/b]
CREDITS_ARTA,art by,,Arte de,Art,kunst von,grafica di,arte por,アート
CREDITS_ARTB,additional art by,,Arte adicional de,Art supplémentaire,weitere kunst von,grafica aggiuntiva di,arte adicional por,追加アート
CREDITS_PROGRAMMINGB,additional programming by,,Programación adicional de,Programmation supplémentaire,weitere programmierung von,programmazione aggiuntiva di,programação adicional por,追加プログラミング
CREDITS_CHARACTERSHEADER,Also Featuring...,,Y con...,Mais aussi...,Featuring&nbsp;…,Con la partecipazione di...,Com a participação de...,出演...
CREDITS_CHARACTER_BEANIES,Dr. Thomas A. Beanies,,Dr. Thomas A. Beanies,Dr Thomas A. Beanies,Dr. Thomas A. Beanies,Dottor Thomas A. Beanies,Dr. Thomas A. Beanies,ドクター・トーマス・A・ビーニーズ
CREDITS_CHARACTER_STACY,Stacy #{stacy_number},,Stacy {stacy_number},Stacy #{stacy_number},Stacy #{stacy_number},Stacy #{stacy_number},Stacy #{stacy_number},ステイシー#{stacy_number}
CREDITS_CHARACTER_BUTCH,Butch,,Butch,Butch,Butch,Butch,Butch,ブッチ
CREDITS_CHARACTER_TINK,Ferguson Rodney Tinkles,,Ferguson Rodney Tinkles,Ferguson Rodney Tinkles,Ferguson Rodney Tinkles,Ferguson Rodney Tinkles,Ferguson Rodney Tinkles,ファーガソン・ロドニー・ティンクルズ
CREDITS_CHARACTER_FRANK,Frank,,Frank,Franck,Frank,Frank,Frank,フランク
CREDITS_CHARACTER_BABYJACK,Jackie Dustin Nickel,,Jackie Dustin Nickel,Jackie Dustin Nickel,Jackie Dustin Nickel,Jackie Dustin Nickel,Jackie Dustin Nickel,ジャッキー・ダスティン・ニッケル
CREDITS_CHARACTER_TRACY,Tracy Newkirk,,Tracy Newkirk,Tracy Newkirk,Tracy Newkirk,Tracy Newkirk,Tracy Newkirk,トレイシー・ニューカーク
CREDITS_CHARACTER_ORGANGRINDER,{organname},,{organname},{organname},{organname},{organname},{organname},{organname}
CREDITS_CHARACTER_STEVEN,Steven,,Steven,Steven,Steven,Steven,Steven,スティーブン
CREDITS_CHARACTER_HEADERB,And Featuring...,,Y con...,Ainsi que...,Und&nbsp;…,E con...,E também...,そして​出演...
CREDITS_CHARACTER_PLAYERCHARACTER,You asMagdalene O. Moriah,,"Tú, comoMagdalene O. Moriah","Vous-même, dans le rôle deMagdalene O. Moriah",Du alsMagdalene O. Moriah,"Te, nel ruolo diMagdalene O. Moriah","Você, comoMagdalene O. Moriah",あに​ゃたが​演じる​マグダレン・O・モリア[b][/b]
CREDITS_MEOWS,featuring meows from,,Con maullidos de,Miaulements de,mit katzenstimmen von,con miagolii di,com miados de,に​ゃん​鳴き提供
CREDITS_TESTERS,testers,,Testers,Testeurs,tester,tester,testes,テスター
CREDITS_MUSICGUESTS,special musical guests,,Invitados musicales especiales,Invités musicaux,special guests (musik),ospiti musicali speciali,convidados musicais especiais,スペシャル音楽ゲスト
CREDITS_LOCALIZATION,Localization by Warlocs,,Localización de Warlocs,Localisation par Warlocs,Lokalisierung von den Warlocs,Localizzazione a cura di Warlocs,Localização por Warlocs,ローカライゼーション: Warlocs
CREDITS_LOCALIZATION_GERMAN,Deutsch:Simon Dehne,doing loc credits like this cause this is the easiest way to get special characters into the credits roll. dont add extra lines without telling us so we can resize the text boxes in the credits roll art,Deutsch:Simon Dehne,Allemand&nbsp;:Simon Dehne,Deutsch:Simon Dehne,Deutsch:Simon Dehne,Alemão:Simon Dehne,Deutsch:Simon Dehne
CREDITS_LOCALIZATION_FRENCH,Français:Kevin MalchereAlexis BarrosoCecile GindratElina Macon,,Français:Kévin MalchèreAlexis BarrosoCécile GindratElina Mâcon,Français&nbsp;:Kévin MalchèreAlexis BarrosoCécile GindratElina Mâcon,Français:Kévin MalchèreAlexis BarrosoCécile GindratElina Mâcon,Français:Kévin MalchèreAlexis BarrosoCécile GindratElina Mâcon,Francês:Kévin MalchèreAlexis BarrosoCécile GindratElina Mâcon,Français:Kevin MalchereAlexis BarrosoCecile GindratElina Macon
CREDITS_LOCALIZATION_ITALIAN,Italiano:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,,Italiano:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,Italien&nbsp;:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,Italiano:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,Italiano:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,Italiano:Carlo De RensisJuny GentileStefano RossittoCristiano Caliendo,Italiano:Carlo De RensisJuny Gentile
CREDITS_LOCALIZATION_SPANISH,Español:Xavi Vernet DiazSebastian Sorroche Jurado Ana Avalos Reyes,,Español:Xavi Vernet DíazSebastián Sorroche Jurado Ana Ávalos Reyes,Espagnol&nbsp;:Xavier Vernet DíazSebastián Sorroche JuradoAna Ávalos Reyes,Español:Xavi Vernet DíazSebastián Sorroche Jurado Ana Ávalos Reyes,Español:Xavi Vernet DíazSebastián Sorroche Jurado Ana Ávalos Reyes,Espanhol:Xavi Vernet DíazSebastián Sorroche Jurado Ana Ávalos Reyes,Español:Xavi Vernet DiazSebastian Sorroche JuradoAna Avalos Reyes
CREDITS_LOCALIZATION_BRPORTUGESE,Português (Brasil):Romulo Wehling,,Português (Brasil):Rômulo Wehling,Portugais du Brésil&nbsp;:Romulo Wehling,Português (Brasil):Rômulo Wehling,Português (Brasil):Rômulo Wehling,Português (Brasil):Rômulo Wehling,Português (Brasil):Romulo Wehling
CREDITS_LOCALIZATION_MARKETING,Marketing Support by Guillotine,,Ayuda de marketing de Guillotine,Support commercial par Guillotine,Marketing Support von Guillotine,Supporto marketing di Guillotine,Suporte de marketing por Guillotine,マーケティングサポート: Guillotine
CREDITS_TOOLSA,level editor made by - joshua robertson,,Editor de niveles de joshua robertson,Éditeur de niveaux créé par Joshua Robertson,level editor programmiert von – joshua robertson,editor dei livelli realizzato da - joshua robertson,editor de níveis criado por - joshua robertson,レベルエディター制作 - joshua robertson
CREDITS_TOOLSB,additional tools made by,,Herramientas adicionales de,Outils supplémentaires,zusätzliche tools von,strumenti aggiuntivi realizzati da,ferramentas adicionais criadas por,追加ツール制作
CREDITS_TECH,Open Source Code Used,,Con código abierto,Code libre utilisé,Verwendung von Open Source Code,codice open source utilizzato,Códigos open source utilizados,使用した​オープンソースコード
CREDITS_THANKS,special thanks,,Agradecimientos especiales,Remerciements,special thanks,ringraziamenti speciali,agradecimentos especiais,スペシャルサンクス
CREDITS_END,THANKSFOR PLAYING!,,¡GRACIASPOR JUGAR!,MERCID'AVOIR JOUÉ&nbsp;!,DANKEFÜRS SPIELEN!,GRAZIEPER AVER GIOCATO!,OBRIGADOPOR JOGAR!,ありがとにゃまた​遊んでにゃ!
,,,,,,,,
SEASON_NAME_SPRING,Spring,,Primavera,Printemps,Frühling,Primavera,Primavera,春
SEASON_NAME_SUMMER,Summer,,Verano,Été,Sommer,Estate,Verão,夏
SEASON_NAME_FALL,Fall,,Otoño,Automne,Herbst,Autunno,Outono,秋
SEASON_NAME_WINTER,Winter,,Invierno,Hiver,Winter,Inverno,Inverno,冬

