KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ABILITY_PATHOFTHEHUNTER_DESC,"A lobbed attack that deals 1 damage. If this kills an enemy, this spell becomes a random Hunter spell permanently.",,"Un ataque en arco que inflige 1 de daño. Si mata a un enemigo, este hechizo se convierte en un hechizo de cazador al azar para siempre.","Une attaque en cloche qui inflige 1&nbsp;point de dégâts. Si elle tue un ennemi, ce sort devient un sort de Sentinelle aléatoire de façon permanente.","Ein Fernkampfangriff, der Hindernisse ignoriert und 1&nbsp;Schaden verursacht. Wenn ein Gegner durch den Angriff stirbt, verwandelt sich dieser Zauber dauerhaft in einen zufälligen Jägerzauber.","Un attacco a parabola che infligge 1 di danno. Se uccide un nemico, quest'incantesimo diventa permanentemente un incantesimo casuale del Cacciatore.","Um ataque em arco que causa 1 de dano. Se este ataque matar um inimigo, este encantamento se torna um encantamento aleatório de caçador permanentemente.",,,1ダメージを​与える​山なり攻撃。​敵を​倒すと、​この​スペルは​ランダムな​ハンタースペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHEHUNTER2_DESC,Transform this spell into a random upgraded Hunter spell permanently.,,Transforma este hechizo en un hechizo mejorado de cazador al azar para siempre.,Transforme ce sort en sort de Sentinelle amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Jägerzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Cacciatore.,Transforme este encantamento em um encantamento aprimorado aleatório de caçador permanentemente.,,,この​スペルを​ランダムな​強化版ハンタースペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHETHIEF_NAME,Path of the Thief,,Camino del ladrón,Voie des Fourbes,Der Weg des Diebes,Percorso del Ladro,Caminho do Ladrão,,,シーフの​道,
ABILITY_PATHOFTHETHIEF_DESC,"A straight shot attack that deals 1 damage. If this makes a critical hit, this spell becomes a random Thief spell permanently.",,"Un tiro en línea recta que inflige 1 de daño. Si genera un golpe crítico, este hechizo se convierte en un hechizo de ladrón al azar para siempre.","Une attaque directe qui inflige 1&nbsp;point de dégâts. Si c'est un coup critique, ce sort devient un sort de Fourbe aléatoire de façon permanente.","Ein gerader Schussangriff, der 1&nbsp;Schaden verursacht. Verursacht der Angriff einen kritischen Treffer, verwandelt sich dieser Zauber dauerhaft in einen zufälligen Diebeszauber.","Un attacco in linea retta che infligge 1 di danno. Se provoca un colpo critico, quest'incantesimo diventa permanentemente un incantesimo casuale del Ladro.","Um disparo em linha reta que causa 1 de dano. Se for um golpe crítico, este encantamento se torna um encantamento aleatório de ladrão permanentemente.",,,1ダメージを​与える​直線攻撃。​クリティカルヒットすると、​この​スペルは​ランダムな​シーフスペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHETHIEF2_DESC,Transform this spell into a random upgraded Thief spell permanently.,,Transforma este hechizo en un hechizo mejorado de ladrón al azar para siempre.,Transforme ce sort en sort de Fourbe amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Diebeszauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Ladro.,Transforme este encantamento em um encantamento aprimorado de ladrão aleatório permanentemente.,,,この​スペルを​ランダムな​強化版シーフスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEFIGHTER_NAME,Path of the Fighter,,Camino del luchador,Voie des Pugilistes,Der Weg des Kriegers,Percorso del Guerriero,Caminho do Lutador,,,ファイターの​道,
ABILITY_PATHOFTHEFIGHTER_DESC,"Your [img:int] becomes 0 until the end of the battle, then this spell becomes a random Fighter spell permanently.",,"El atributo de [img:int] de esta unidad se convierte en 0 hasta el final del combate. Luego, este hechizo se convierte en un hechizo de luchador al azar para siempre.","Votre [img:int] est réduite à&nbsp;0&nbsp;jusqu'à la fin du combat, puis ce sort devient un sort de Pugiliste aléatoire de façon permanente.",Bis zum Ende des Kampfes sinkt deine [img:int] auf 0. Anschließend verwandelt sich dieser Zauber dauerhaft in einen Kriegerzauber.,"La tua [img:int] diventa 0 fino alla fine della battaglia, dopodiché quest'incantesimo diventa permanentemente un incantesimo casuale del Guerriero.","Sua [img:int] se torna 0 até o final da batalha, e então este encantamento se torna um encantamento aleatório de lutador permanentemente.",,,バトル終了まで[img:int]が​0に​なる。​その​後​この​スペルは​ランダムな​ファイタースペルに​永続的に​変わる。,
ABILITY_PATHOFTHEFIGHTER2_DESC,Transform this spell into a random upgraded Fighter spell permanently.,,Transforma este hechizo en un hechizo mejorado de luchador al azar para siempre.,Transforme ce sort en sort de Pugiliste amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Kriegerzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Guerriero.,Transforme este encantamento em um encantamento aprimorado de mago lutador permanentemente.,,,この​スペルを​ランダムな​強化版ファイタースペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHETANK_NAME,Path of the Tank,,Camino del tanque,Voie des Tanks,Der Weg des Tanks,Percorso del Corazzato,Caminho do Tanque,,,タンクの​道,
ABILITY_PATHOFTHETANK_DESC,Transform this spell into a random Tank spell permanently. Castable only if you have 5 or less health.,,Transforma este hechizo en un hechizo de tanque al azar para siempre. Se puede lanzar solo si la unidad tiene 5 de salud o menos.,Transforme ce sort en sort de Tank aléatoire de façon permanente. Ne peut être lancé que si vous avez 5&nbsp;PV ou moins.,Verwandle diesen Zauber dauerhaft in einen zufälligen Tankzauber. Kann nur mit 5 oder weniger LP verwendet werden.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale del Corazzato. Lanciabile solo se hai un massimo di 5 punti salute.,Transforme este encantamento em um encantamento aleatório de tanque permanentemente. Só é possível lançar se você possuir 5 ou menos de saúde.,,,この​スペルを​ランダムな​タンクスペルに​永続的に​変換する。​HP5以下の​時のみ​使用可能。[b][/b],
ABILITY_PATHOFTHETANK2_DESC,Transform this spell into a random upgraded Tank spell permanently.,,Transforma este hechizo en un hechizo mejorado de tanque al azar para siempre.,Transforme ce sort en sort de Tank amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Tankzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Corazzato.,Transforme este encantamento em um encantamento aprimorado de tanque aleatório permanentemente.,,,この​スペルを​ランダムな​強化版タンクスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHECLERIC_NAME,Path of the Cleric,,Camino del clérigo,Voie des Sages,Der Weg des Klerikers,Percorso del Chierico,Caminho do Clérigo,,,クレリックの​道,
ABILITY_PATHOFTHECLERIC_DESC,"Give an enemy All Stats Up and fully heal it, then this spell becomes a random Cleric spell permanently.",,"Otorga a un enemigo aumento total y lo cura por completo. Luego, este hechizo se convierte en un hechizo de clérigo al azar para siempre.","Confère Hausse de stats à un ennemi et soigne tous ses PV, puis ce sort devient un sort de Sage aléatoire de façon permanente.","Verleihe einem Gegner einen Bonus auf alle Attribute, heile ihn vollständig und verwandle diesen Zauber dauerhaft in einen zufälligen Klerikerzauber.",Fornisci a un nemico Aumento delle Statistiche e lo cura completamente. Poi quest'incantesimo diventa permanentemente un incantesimo casuale del Chierico.,"Conceda a um inimigo todos os atributos aumentados, e então este encantamento se torna um encantamento de clérigo aleatório permanentemente.",,,敵に​全ステータス上昇を​与え完全回復させる。​その​後​この​スペルは​ランダムな​クレリックスペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHECLERIC2_DESC,Transform this spell into a random upgraded Cleric spell permanently.,,Transforma este hechizo en un hechizo mejorado de clérigo al azar para siempre.,Transforme ce sort en sort de Sage amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Klerikerzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Chierico.,Transforme este encantamento em um encantamento aprimorado de clérigo aleatório permanentemente.,,,この​スペルを​ランダムな​強化版クレリックスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEBUTCHER_NAME,Path of the Butcher,,Camino del carnicero,Voie des Barbares,Der Weg des Schlachters,Percorso del Macellaio,Caminho do Açougueiro,,,ブッチャーの​道,
ABILITY_PATHOFTHEBUTCHER_DESC,"Collect an adjacent food pickup, then this spell becomes a random Butcher spell permanently.",,"Recolecta un recogible de comida adyacente. Luego, este hechizo se convierte en un hechizo de carnicero al azar para siempre.","Ramasse une nourriture adjacente, puis ce sort devient un sort de Barbare aléatoire de façon permanente.",Sammle einen benachbarten Essensgegenstand ein und verwandle diesen Zauber dauerhaft in einen zufälligen Schlachterzauber.,"Prendi un raccoglibile cibo adiacente, poi quest'incantesimo diventa permanentemente un incantesimo casuale del Macellaio.","Pegue um coletável de comida adjacente, e então este encantamento se torna um encantamento de açougueiro aleatório permanentemente.",,,隣接する​食料ピックアップを​回収する。​その​後​この​スペルは​ランダムな​ブッチャースペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHEBUTCHER2_DESC,Transform this spell into a random upgraded Butcher spell permanently.,,Transforma este hechizo en un hechizo mejorado de carnicero al azar para siempre.,Transforme ce sort en sort de Barbare amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Schlachterzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Macellaio.,Transforme este encantamento em um encantamento aprimorado de açougueiro aleatório permanentemente.,,,この​スペルを​ランダムな​強化版ブッチャースペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEPSYCHIC_NAME,Path of the Psychic,,Camino del ocultista,Voie des Médiums,Der Weg des Mediums,Percorso dello Psionico,Caminho do Psíquico,,,サイキックの​道,
ABILITY_PATHOFTHEPSYCHIC_DESC,This spell becomes a random Psychic spell permanently. Castable only if you have full mana.,,Este hechizo se convierte en un hechizo de ocultista al azar para siempre. Se puede lanzar solo con el maná al completo.,Transforme ce sort en sort de Médium aléatoire de façon permanente. Ne peut être lancé que si vous avez tous vos points de mana.,Verwandle diesen Zauber dauerhaft in einen zufälligen Mediumzauber. Kann nur mit vollem Mana verwendet werden.,Quest'incantesimo diventa permanentemente un incantesimo casuale dello Psionico. Lanciabile solo se hai mana pieno.,Transforme este encantamento em um encantamento aleatório de psíquico permanentemente. Só é possível lançar se você possuir mana.,,,この​スペルを​ランダムな​サイキックスペルに​永続的に​変換する。​マナ全快​時のみ​使用可能。[b][/b],
ABILITY_PATHOFTHEPSYCHIC2_DESC,Transform this spell into a random upgraded Psychic spell permanently.,,Transforma este hechizo en un hechizo mejorado de ocultista al azar para siempre.,Transforme ce sort en sort de Médium amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Mediumzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato dello Psionico.,Transforme este encantamento em um encantamento aprimorado de psíquico aleatório permanentemente.,,,この​スペルを​ランダムな​強化版サイキックスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHETINKERER_NAME,Path of the Tinkerer,,Camino del manitas,Voie des Scientifiques,Der Weg des Bastlers,Percorso dell'Inventore,Caminho do Artífice,,,ティンカラーの​道,
ABILITY_PATHOFTHETINKERER_DESC,"Destroy your weapon, then this spell becomes a random Tinkerer spell permanently.",,"Destruye el arma. Luego, este hechizo se convierte en un hechizo de manitas al azar para siempre.","Détruit votre arme, puis ce sort devient un sort de Scientifique aléatoire de façon permanente.",Zerstöre deine Waffe und verwandle diesen Zauber dauerhaft in einen zufälligen Bastlerzauber.,"Distruggi la tua arma, poi quest'incantesimo diventa permanentemente un incantesimo casuale dell'Inventore.","Destrua sua arma, e então este encantamento se torna um encantamento de artífice aleatório permanentemente.",,,武器を​破壊する。​その​後​この​スペルは​ランダムな​ティンカラースペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHETINKERER2_DESC,Transform this spell into a random upgraded Tinkerer spell permanently.,,Transforma este hechizo en un hechizo mejorado de manitas al azar para siempre.,Transforme ce sort en sort de Scientifique amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Bastlerzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato dell'Inventore.,Transforme este encantamento em um encantamento aprimorado de artífice aleatório permanentemente.,,,この​スペルを​ランダムな​強化版ティンカラースペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEMONK_NAME,Path of the Monk,,Camino del monje,Voie des Moines,Der Weg des Mönchs,Percorso del Monaco,Caminho do Monge,,,モンクの​道,
ABILITY_PATHOFTHEMONK_DESC,"Gain All Stats Down, then this spell becomes a random Monk spell permanently.",,"Obtiene reducción total. Luego, este hechizo se convierte en un hechizo de monje al azar para siempre.","Obtient Baisse de stats, puis ce sort devient un sort de Moine aléatoire de façon permanente.",Erleide einen Malus auf alle Attribute und verwandle diesen Zauber dauerhaft in einen zufälligen Mönchszauber.,"Infliggi Diminuzione delle Statistiche, poi quest'incantesimo diventa permanentemente un incantesimo casuale del Monaco.","Obtenha todos os atributos diminuídos, e então este encantamento se torna um encantamento de monge aleatório permanentemente.",,,全ステータス低下を​得る。​その​後​この​スペルは​ランダムな​モンクスペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHEMONK2_DESC,This spell becomes a random upgraded Monk spell permanently.,,Este hechizo se convierte en un hechizo mejorado de monje al azar para siempre.,Transforme ce sort en sort de Moine amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Mönchszauber.,Quest'incantesimo diventa permanentemente un incantesimo casuale potenziato del Monaco.,Transforme este encantamento em um encantamento aprimorado de monge aleatório permanentemente.,,,この​スペルを​ランダムな​強化版モンクスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEDRUID_NAME,Path of the Druid,,Camino del druida,Voie des Druides,Der Weg des Druiden,Percorso del Druido,Caminho do Druida,,,ドルイドの​道,
ABILITY_PATHOFTHEDRUID_DESC,"Plant flowers on the tile you're standing on, then this spell becomes a random Druid spell permanently. Castable only if you're standing on a grass tile.",,"Planta flores en la casilla sobre la que está. Luego, este hechizo se convierte en un hechizo de druida al azar para siempre. Solo se puede lanzar si la unidad está sobre una casilla de hierba.","Plante des fleurs sur votre case, puis ce sort devient un sort de Druide aléatoire de façon permanente. Ne peut être lancé que si vous êtes sur une case d'herbe.","Pflanze auf dem Feld, auf dem du dich befindest, Blumen und verwandle diesen Zauber dauerhaft in einen zufälligen Druidenzauber. Kann nur verwendet werden, wenn du auf einem Grasfeld stehst.","Pianti dei fiori sulla casella su cui ti trovi, poi quest'incantesimo diventa permanentemente un incantesimo casuale del Druido. Lanciabile solo se ti trovi su una casella d'erba.","Plante flores no espaço onde você está, e então este encantamento se torna um encantamento de druida aleatório permanentemente. Só é possível lançar se você estiver em um espaço de grama.",,,立っている​タイルに​花を​植える。​その​後​この​スペルは​ランダムな​ドルイドスペルに​永続的に​変わる。​草タイルに​立っている​時のみ​使用可能。[b][/b],
ABILITY_PATHOFTHEDRUID2_DESC,Transform this spell into a random upgraded Druid spell permanently.,,Transforma este hechizo en un hechizo mejorado de druida al azar para siempre.,Transforme ce sort en sort de Druide amélioré aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Druidenzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale potenziato del Druido.,Transforme este encantamento em um encantamento aprimorado de druida aleatório permanentemente.,,,この​スペルを​ランダムな​強化版ドルイドスペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHENECROMANCER_NAME,Path of the Necromancer,,Camino del nigromante,Voie des Occultistes,Der Weg des Totenbeschwörers,Percorso del Necromante,Caminho do Necromante,,,ネクロマンサーの​道,
ABILITY_PATHOFTHENECROMANCER_DESC,"Destroy a corpse, then this spell becomes a random Necromancer spell permanently.",,"Destruye un cadáver. Luego, este hechizo se convierte en un hechizo de nigromante al azar para siempre.","Détruit un cadavre, puis ce sort devient un sort d'Occultiste aléatoire de façon permanente.",Zerstöre eine Leiche und verwandle diesen Zauber dauerhaft in einen zufälligen Totenbeschwörerzauber.,"Distruggi un cadavere, poi quest'incantesimo diventa permanentemente un incantesimo casuale del Necromante.","Destrua um corpo, e então este encantamento se torna um encantamento de necromante aleatório permanentemente.",,,死体を​破壊する。​その​後​この​スペルは​ランダムな​ネクロマンサースペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHENECROMANCER2_DESC,Transform this spell into a random Necromancer spell permanently.,,Transforma este hechizo en un hechizo de nigromante al azar para siempre.,Transforme ce sort en sort d'Occultiste aléatoire de façon permanente.,Verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Totenbeschwörerzauber.,Trasforma permanentemente quest'incantesimo in un incantesimo casuale del Necromante.,Transforme este encantamento em um encantamento aprimorado de necromante aleatório permanentemente.,,,この​スペルを​ランダムな​ネクロマンサースペルに​永続的に​変換する。[b][/b],
ABILITY_PATHOFTHEVOID_NAME,Path Of The Void,,Camino del vacío,Voie du vide,Der Weg der Leere,Percorso del Vuoto,Caminho do Vazio,,,虚無の​道,
ABILITY_PATHOFTHEVOID_DESC,Conjure a random Collarless spell into your bonus spell slot.,,Invoca un hechizo sin collar al azar en el espacio de hechizo de bonificación.,Conjure un sort de Sans collier aléatoire dans votre emplacement de sort bonus.,Beschwöre einen zufälligen neutralen Zauber als deinen Bonuszauber.,Evochi un incantesimo casuale del Senza Collare nel tuo slot incantesimo bonus.,Conjure um encantamento sem coleira aleatório em seu espaço de encantamento bônus.,,,ボーナススペルスロットに​ランダムな​首輪なしスペルを​召喚する。[b][/b],
ABILITY_PATHOFTHEVOID2_DESC,Conjure a random upgraded Collarless spell into your bonus spell slot.,,Invoca un hechizo mejorado sin collar al azar en el espacio de hechizo de bonificación.,Conjure un sort de Sans collier amélioré aléatoire dans votre emplacement de sort bonus.,Beschwöre einen zufälligen verbesserten neutralen Zauber als deinen Bonuszauber.,Evochi un incantesimo casuale potenziato del Senza Collare nel tuo slot incantesimo bonus.,Conjure um encantamento sem coleira aprimorado aleatório em seu espaço de encantamento bônus.,,,ボーナススペルスロットに​ランダムな​強化版首輪なしスペルを​召喚する。[b][/b],
ABILITY_PATHOFTHEJESTER_NAME,Path of the Jester,,Camino del bufón,Voie des Jokers,Der Weg des Narren,Percorso del Giullare,Caminho do Bobo,,,ジェスターの​道,
ABILITY_PATHOFTHEJESTER_DESC,"Gain 10 random stat ups and 5 random stat downs, then transform this spell into a random class spell permanently.",,"Mejora 10 veces un atributo al azar y reduce 5 veces un atributo al azar. Luego, transforma este hechizo en un hechizo de clase al azar para siempre.","Confère +1&nbsp;dans une stat aléatoire 10&nbsp;fois et -1&nbsp;dans une stat aléatoire 5&nbsp;fois, puis transforme ce sort en sort de classe aléatoire de façon permanente.",Erhalte 10 zufällige Boni und 5 zufällige Malusse auf deine Attribute und verwandle diesen Zauber dauerhaft in einen zufälligen Klassenzauber.,"Ottieni 10 aumenti e 5 diminuzioni casuali delle statistiche, poi trasforma permanentemente questo incantesimo in un incantesimo di classe casuale.","Obtenha 10 atributos aleatórios aumentados e 5 atributos aleatório diminuídos, e então transforme este encantamento em um encantamento aprimorado de classe aleatória permanentemente.",,,ランダムステータス上昇10個と​ランダムステータス低下5個を​得る。​その​後​この​スペルは​ランダムな​クラススペルに​永続的に​変わる。[b][/b],
ABILITY_PATHOFTHEJESTER2_DESC,"Gain 10 random stat ups, then transform this spell into a random upgraded class spell permanently.",,"Mejora 10 atributos al azar. Luego, transforma este hechizo en un hechizo mejorado de clase al azar para siempre.","Confère +1&nbsp;dans une stat aléatoire 10&nbsp;fois, puis transforme ce sort en sort de classe amélioré aléatoire de façon permanente.",Erhalte 10 zufällige Boni auf deine Attribute und verwandle diesen Zauber dauerhaft in einen zufälligen verbesserten Klassenzauber.,"Ottieni 10 aumenti casuali delle statistiche, poi trasforma permanentemente questo incantesimo in un incantesimo potenziato di classe casuale.","Obtenha 10 atributos aleatórios aumentados, e então transforme este encantamento em um encantamento aprimorado de classe aleatória permanentemente.",,,ランダムステータス上昇10個を​得る。​その​後​この​スペルは​ランダムな​強化版クラススペルに​永続的に​変わる。[b][/b],
ABILITY_ITCH_NAME,Itch,,Picor,Démangeaison,Juckreiz,Prurito,Coceira,,,かゆい,
ABILITY_ITCH_DESC,Deal 1 damage to yourself. 50% chance to spawn a friendly flea.,,Se autoinflige +1 de daño. Tiene un 50 % de probabilidad de generar una pulga aliada.,Vous inflige 1&nbsp;point de dégâts. 50&nbsp;% de chances de faire apparaître une puce amicale.,Erleide 1&nbsp;Schaden. Mit 50%iger Wahrscheinlichkeit erscheint ein freundlicher Floh.,Infliggi 1 di danno a te stesso. 50% di probabilità di generare una pulce alleata.,Cause 1 de dano a si. 50% de chance de gerar uma pulga amigável.,,,自分に​1ダメージ。​50%の​確率で​友好的な​ノミを​生成。[b][/b],
ABILITY_ITCH2_DESC,Deal 1 damage to yourself. Spawn a friendly flea.,,Se autoinflige +1 de daño. Genera una pulga aliada.,Vous inflige 1&nbsp;point de dégâts. Fait apparaître une puce amicale.,Erleide 1&nbsp;Schaden. Ein freundlicher Floh erscheint.,Infliggi 1 di danno a te stesso. Generi una pulce alleata.,Cause 1 de dano a si. Gere uma pulga amigável.,,,自分に​1ダメージ。​友好的な​ノミを​生成。[b][/b],
ABILITY_MEOW_NAME,Meow,,Maullido,Miaou,Miau,Miao,Miau,,,ニャー,
ABILITY_MEOW_DESC,Your closest ally moves toward you.,,El aliado más cercano se mueve hacia esta unidad.,L'unité alliée la plus proche se déplace vers vous.,"Der Verbündete, der dir am nächsten steht, bewegt sich in deine Richtung.",Il tuo alleato più vicino si muove verso di te.,Seu aliado mais próximo se move na sua direção.,,,最も​近い​味方が​自分に​向かって​移動する。[b][/b],
ABILITY_MEOW2_DESC,A target ally moves toward you.,,Un aliado elegido se mueve hacia esta unidad.,L'unité alliée ciblée se déplace vers vous.,Ein beliebiger Verbündeter bewegt sich in deine Richtung.,Un alleato specifico si muove verso di te.,Um aliado alvo se move na sua direção.,,,対象の​味方が​自分に​向かって​移動する。[b][/b],
ABILITY_SWAT_NAME,Swat,,Guantazo,Mandale,Schubsen,Zampata,Tabefe,,,ひっぱたく,
ABILITY_SWAT_DESC,Knockback a unit 3 tiles.,,Hace retroceder una unidad 3 casillas.,Repousse une unité de 3&nbsp;cases.,Stoße eine Einheit 3&nbsp;Felder zurück.,Respingi un'unità di 3 caselle.,Empurre uma unidade 3 espaços para trás.,,,ユニットを​3タイルノックバックする。[b][/b],
ABILITY_SWAT2_DESC,Knockback a unit 10 tiles.[s:.7](This spell costs less.)[/s],,Hace retroceder una unidad 10 casillas.[s:.7](Este hechizo cuesta menos).[/s],Repousse une unité de 10&nbsp;cases.[s:.7](Coût réduit.)[/s],Stoße eine Einheit 10&nbsp;Felder zurück.[s:.7](Dieser Zauber kostet weniger.)[/s],Respingi un'unità di 10 caselle.[s:.7](Quest'incantesimo costa meno.)[/s],Empurre uma unidade 10 espaços para trás.[s:.7](Este encantamento custa menos.)[/s],,,ユニットを​10タイルノックバックする。[s:.7](この​スペルは​コストが​少ない。)[/s],
ABILITY_LICK_NAME,Lick,,Lametón,Léchouille,Schlecker,Leccata,Lambida,,,ペロペロ,
ABILITY_LICK_DESC,Heal an adjacent unit by 2 HP.,,Devuelve 2 PS a una unidad adyacente.,Soigne une unité adjacente de 2&nbsp;PV.,Heile eine benachbarte Einheit um 2&nbsp;LP.,Curi un'unità adiacente di 2 PS.,Cure 2 PV de uma unidade adjacente.,,,隣接ユニットを​2HP回復する。[b][/b],
ABILITY_LICK2_DESC,Heal an adjacent unit by 2 HP. Healed enemies gain Confusion 3.,,Devuelve 2 PS a una unidad adyacente. Los enemigos curados obtienen 3 de confusión.,Soigne une unité adjacente de 2&nbsp;PV. Les ennemis soignés subissent Confusion&nbsp;+3.,Heile eine benachbarte Einheit um 2&nbsp;LP. Geheilte Gegner erleiden Verwirrung&nbsp;3.,Curi un'unità adiacente di 2 PS. I nemici curati ottengono Confusione 3.,Cure 2 PV de uma unidade adjacente. Inimigos curados obtêm confusão 3.,,,隣接ユニットを​2HP回復する。​回復した敵は​混乱3を​得る。[b][/b],
ABILITY_PURR_NAME,Purr,,Ronroneo,Ronronnement,Schnurren,Fusa,Purr,,,ゴロゴロ,
ABILITY_PURR_DESC,Remove 1 stack of a random debuff from yourself and all adjacent units.,,Elimina 1 acumulación de una desventaja al azar de sí misma y de todas las unidades adyacentes.,Retire 1&nbsp;cumul de malus aléatoire sur vous et toutes les unités adjacentes.,Entferne 1&nbsp;Stapel einer zufälligen Schwächung von dir selbst und allen benachbarten Einheiten.,Rimuovi 1 stack di un malus casuale da te e da tutte le unità adiacenti.,Remova 1 acumulação de um enfraquecimento aleatório de si e de todas as unidades adjacentes.,,,自分と​隣接ユニットから​ランダムな​デバフを​1スタック除去する。[b][/b],
ABILITY_PURR2_DESC,Remove 1 stack of a random debuff from and heal 1 HP to yourself and all adjacent units.,,Devuelve 1 PS y elimina 1 acumulación de una desventaja al azar de sí misma y de todas las unidades adyacentes.,Soigne 1&nbsp;PV et retire 1&nbsp;cumul de malus aléatoire sur vous et toutes les unités adjacentes.,Entferne 1&nbsp;Stapel einer zufälligen Schwächung von dir selbst und allen benachbarten Einheiten und heile euch jeweils um 1&nbsp;LP.,Rimuovi 1 stack di un malus casuale da te e da tutte le unità adiacenti e rigeneri 1 PS.,Remova 1 acumulação de um enfraquecimento aleatório e cure 1 PV de si e de todas as unidades adjacentes.,,,自分と​隣接ユニットから​ランダムな​デバフを​1スタック​除去し、​1HP回復する。[b][/b],
ABILITY_HISS_NAME,Hiss,,Bufido,Feulement,Fauchen,Soffio,Sibilo,,,シャー,
ABILITY_HISS_DESC,Adjacent units move away from you. You have a 25% chance to inflict Fear on them.,,Las unidades adyacentes se alejan. Tiene un 25 % de probabilidad de infligirles miedo.,Les unités adjacentes s'éloignent de vous. Vous avez 25&nbsp;% de chances de leur infliger Peur.,Benachbarte Einheiten bewegen sich von dir weg. Verursache mit einer 25%igen Wahrscheinlichkeit Angst bei ihnen.,Le unità adiacenti si allontanano da te. Hai un 25% di probabilità di infliggere loro Paura.,Unidades adjacente se afastam de você. Você possui 25% de chance de aplicar medo nelas.,,,隣接ユニットが​離れていく。​25%の​確率で​恐怖を​付与する。[b][/b],
ABILITY_HISS2_DESC,Adjacent units move away from you. Inflict fear on them.,,Las unidades adyacentes se alejan de esta y les inflige miedo.,Les unités adjacentes s'éloignent de vous. Vous leur infligez Peur.,Benachbarte Einheiten bewegen sich von dir weg. Verursache Angst bei ihnen.,Le unità adiacenti si allontanano da te. Infliggi loro Paura.,Unidades adjacente se afastam de você. Aplique medo nelas.,,,隣接ユニットが​離れていく。​恐怖を​付与する。[b][/b],
ABILITY_KNEAD_NAME,Knead,,Amasado,Patounage,Kneten,Manipolazione,Sovada,,,ふみふみ,
ABILITY_KNEAD_DESC,"Knead another unit. Allies gain +1 Damage, enemies gain Weakness 1.",,Amasa a otra unidad. Los aliados obtienen +1 de daño y los enemigos sufren 1 de debilidad.,"Patounez une autre unité. Les alliés gagnent Dégâts&nbsp;+1, les ennemis subissent Vulnérabilité&nbsp;+1.","Knete eine Einheit. Verbündete erhalten +1&nbsp;Schaden, Gegner erleiden Schwäche&nbsp;1.","Manipoli un'altra unità. Gli alleati ottengono +1 al Danno, i nemici ottengono Debolezza 1.","Sove outra unidade. Aliados obtêm +1 de dano, inimigos obtêm fraqueza 1.",,,他の​ユニットを​ふみふみする。​味方は​ダメージ+1、​敵は​弱体化1を​得る。[b][/b],
