KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
ITEM_SKILLSTONE_NAME,Skill Stone,,Piedra de habilidad,Pierre de compétence,Fertigkeitsstein,Pietra dell'Abilità,Pedra de Habilidade,,,スキルストーン,
ITEM_SKILLSTONE_DESC,Spells that match your class cost -1 mana.,,Los hechizos que coincidan con la clase de esta unidad cuestan -1 de maná.,Les sorts correspondant à votre classe coûtent -1&nbsp;mana.,Zauber deiner Klasse kosten -1&nbsp;Mana.,Gli incantesimi che corrispondono alla tua classe costano -1 mana.,Encantamentos da sua classe custam -1 de mana.,,,自分の​クラスに​合致する​スペルの​コスト-1マナ。[b][/b],
ITEM_SMALLEYE_NAME,Small Eye,,Ojo pequeño,Œil riquiqui,Kleines Auge,Occhio Piccolo,Olho Pequeno,,,小さな​眼,
ITEM_SMALLEYE_DESC,+15% Dodge Chance.Your basic attack has a +10% chance to inflict Fear.,,+15 % de probabilidad de esquiva.El ataque básico tiene +10 % de probabilidad de infligir miedo.,Chances d'esquive +15&nbsp;%.Votre attaque de base a 10&nbsp;% de chances d'infliger Peur.,"+15&nbsp;% Ausweichchance.Dein Grundangriff hat eine +10%ige Wahrscheinlichkeit, Angst zu verursachen.",+15% di probabilità di schivata.Il tuo attacco base ha un +10% di probabilità di infliggere Paura.,+15% de chance de esquiva.Seu ataque básico possui +10% de chance de aplicar medo.,,,+15%回避率。​基本攻撃が​恐怖を​与える​確率+10%。[b][/b],
ITEM_SNAGGLETOOTH_NAME,Snaggle Tooth,,Diente torcido,Dent de travers,Schiefer Zahn,Dente Sporgente,Dente Afiado,,,八重歯,
ITEM_SNAGGLETOOTH_DESC,Your basic attack inflicts Bleed 1.,,El ataque básico inflige 1 de hemorragia.,Votre attaque de base inflige Saignement +1.,Dein Grundangriff verursacht Blutung&nbsp;1.,Il tuo attacco base infligge Sanguinamento 1.,Seu ataque básico aplica sangramento 1.,,,基本攻撃が​出血1を​与える。,
ITEM_SNAKEEYES_NAME,Snake Eyes,,Ojos de serpiente,Yeux de serpent,Einer-Pasch,Occhi di Serpente,Olhos de Cobra,,,スネークアイ,
ITEM_SNAKEEYES_DESC,"While you are at exactly 2 HP, you have +222 [img:lck]",,"Mientras esta unidad tenga exactamente 2 PS, tiene +222 [img:lck]","Tant que vous avez exactement 2&nbsp;PV, vous bénéficiez de [img:lck] +222.","Wenn du genau 2&nbsp;LP hast, hast du +222&nbsp;[img:lck].","Quando sei esattamente a 2 PS, ricevi +222 alla [img:lck]","Enquanto possuir exatamente 2 PV, obtenha +222 de [img:lck].",,,HP2ちょうどの​時、​+222[img:lck]を​持つ。,
ITEM_SOULJAR_FULL_DESC,Use: Summon a ghost copy of {aux_cat_name}.[s:.7](Usable once per battle.)[/s],,Uso: Invoca una copia fantasmal de {aux_cat_name}.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: invoque un double spectral de {aux_cat_name}.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],Benutzen: Beschwöre einen Geisterklon von {aux_cat_name}.[s:.7](Einmal pro Kampf verwendbar.)[/s],Uso: Evoca una copia fantasma di {aux_cat_name}.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: invoque uma cópia fantasmagórica de {aux_cat_name}.[s:.7](Um uso por batalha.)[/s],,,使用:{aux_cat_name}の​幽霊コピーを​召喚する。[s:.7](バトルごとに​1回使用可能)[/s],
ITEM_SOULJAR_DESC,"When your body is destroyed, this item is recovered and permanently gains the ability to summon a ghost copy of you.",,"Al destrozar el cadáver de esta unidad, este objeto se recupera y obtiene para siempre la habilidad de invocar una copia fantasmal.","Quand votre corps est détruit, vous récupérez cet objet qui gagne définitivement la capacité d'invoquer votre double spectral.","Wenn dein Körper zerstört wird, bleibt dieser Gegenstand bestehen und erhält dauerhaft die Fähigkeit, einen Geisterklon von dir zu rufen.","Quando il tuo corpo viene distrutto, quest'oggetto viene recuperato e ottiene permanentemente la capacità di evocare una tua copia fantasma.","Quando seu corpo for destruído, este item é recuperado e concede permanentemente a habilidade de invocar uma cópia fantasmagórica de você.",,,体が​破壊されると、​この​アイテムが​回収され、​自分の​幽霊コピーを​召喚する​能力を​永続的に​獲得する。[b][/b],
ITEM_SOULJAR_NAME,Soul Jar,,Tarro de almas,Bocal spirituel,Seelenkrug,Barattolo delle Anime,Pote de Alma,,,魂の​壺,
ITEM_SOULJAR_FULL_NAME,Soul Jar,,Tarro de almas,Bocal spirituel,Seelenkrug,Barattolo delle Anime,Pote de Alma,,,魂の​壺,
ITEM_SOYMILK_NAME,Soy Milk,,Leche de soja,Lait de soja,Sojamilch,Latte di Soia,Leite de Soja,,,豆乳,
ITEM_SOYMILK_DESC,Your basic attack cannot deal more than 1 damage.You can attack 2 extra times each turn.,,El ataque básico no puede infligir más de 1 de daño.Esta unidad puede atacar 2 veces extras cada turno.,Votre attaque de base n'inflige pas plus d'1&nbsp;dégât.Vous pouvez attaquer 2&nbsp;fois de plus chaque tour.,Dein Grundangriff kann nicht mehr als 1&nbsp;Schaden verursachen.Du kannst in jedem Zug 2-mal zusätzlich angreifen.,Il tuo attacco base non può infliggere più di 1 danno.Puoi attaccare 2 volte in più ogni turno.,Seu ataque básico não pode causar mais do que 1 de dano.Você pode atacar 2 vezes adicionais em cada turno.,,,基本攻撃が​1ダメージ以上​与えられなくなる。​各ターン攻撃を​追加で​2回行える。[b][/b],
ITEM_SPELLBOOK_NAME,Spell Book,,Libro de hechizos,Vieux grimoire,Zauberbuch,Libro degli Incantesimi,Livro de Encantamentos,,,魔法書,
ITEM_SPELLBOOK_DESC,Use: Gain 10 mana and conjure a random Mage spell as a bonus ability.,,Uso: Obtiene 10 de maná e invoca un hechizo de mago al azar como habilidad de bonificación.,"Utilisation&nbsp;: Mana +10, compétence bonus lançant un sort de mage aléatoire.",Benutzen: Erhalte 10&nbsp;Mana und beschwöre einen zufälligen Magierzauber als Bonusfähigkeit.,Uso: Ottieni 10 mana ed evochi un incantesimo del Mago casuale come abilità bonus.,Uso: obtenha 10 de mana e conjure um encantamento aleatório de mago como habilidade bônus.,,,使用:10マナ獲得し、​ランダムな​メイジスペルを​ボーナスアビリティと​して​作り出す。[b][/b],
ITEM_SPOONBENDER_NAME,Spoon Bender,,Doblador de cucharas,Tordeur de cuillères,Löffelverbieger,Piegacucchiai,Dobrador de Colheres,,,スプーン曲げ,
ITEM_SPOONBENDER_DESC,Your basic attack can't miss and emits a Sparkle when used.,,El ataque básico no puede fallar y emite un destello al lanzarlo.,Votre attaque de base ne peut pas échouer et émet une étincelle.,Dein Grundangriff kann nicht verfehlen und versprüht Funken.,Il tuo attacco base non può mancare il bersaglio ed emette una Scintilla quando viene usato.,Seu ataque básico não pode errar e emite uma fagulha ao ser utilizado.,,,基本攻撃が​外れなくなり、​使用時に​火花を​1つ​放つ。[b][/b],
ITEM_SPOTTEDMUSHROOM_NAME,Spotted Mushroom,,Seta moteada,Champi à pois,Punktierter Pilz,Fungo Maculato,Cogumelo Pintado,,,斑点キノコ,
ITEM_SPOTTEDMUSHROOM_DESC,,,,,,,,,,,
ITEM_SPRING_NAME,Spring,,Muelle,Ressort,Sprungfeder,Molla,Mola,,,バネ,
ITEM_SPRING_DESC,Your movement action is Jump.,,La acción de movimiento se convierte en un salto.,Votre action de déplacement devient Saut.,Deine Bewegungsaktion wird ein Sprung.,La tua azione di movimento è Salto.,Sua ação de movimento é um salto.,,,移動アクションが​ジャンプに​なる。[b][/b],
ITEM_STEROIDS_NAME,Steroids,,Esteroides,Stéroïdes,Steroide,Steroidi,Esteróides,,,ステロイド,
ITEM_STEROIDS_DESC,"Use: Gain +1 [img:str], permanently. For the rest of the adventure, you have a +2% chance to gain Madness at the start of each turn.",,"Uso: Obtiene +1 [img:str] para siempre. Hasta el final de la aventura, tiene +2 % de probabilidad de obtener locura al inicio de cada turno.","Utilisation&nbsp;: [img:str] +1&nbsp;de façon permanente. Pour le reste de l'aventure, vous avez +2&nbsp;% de chances de subir Folie au début de chaque tour.","Benutzen: Erhalte dauerhaft +1&nbsp;[img:str]. Für den Rest des Abenteuers besteht eine +2%ige Wahrscheinlichkeit, dass du am Anfang eines Zuges wahnsinnig wirst.","Uso: Ottieni +1 alla [img:str], permanentemente. Per il resto dell'avventura, hai un +2% di probabilità di ottenere Follia all'inizio di ogni turno.","Uso: obtenha +1 de [img:str] permanentemente. Pelo resto da aventura, você possui uma chance de 2% de obter insanidade no início de cada turno.",,,使用:永続的に​+1[img:str]を​獲得。​この​冒険の​残りの間、​各ターン開始時に​狂気を​獲得する​確率+2%。,
ITEM_STEVENMARROW_NAME,Steven Marrow,,Steven de médula,Moelle de Steven,Stevens Knochenmark,Midollo di Steven,Medula de Steven,,,スティーブン骨髄,
ITEM_STEVENMARROW_DESC,Any [img:shield] you gain is increased by 4.,,Cualquier [img:shield] obtenido aumenta en 4.,Chaque [img:shield] que vous obtenez est augmenté de 4.,"Jeglicher [img:shield], den du erhältst, ist um 4 erhöht.",Qualsiasi [img:shield] che ottieni è aumentato di 4.,Qualquer [img:shield] que você obtém é aumentado em 4.,,,獲得する​全ての[img:shield]が​4増加する。,
ITEM_STEVENSTONE_NAME,Steven Stone,,Steven de piedra,Pierre de Steven,Stevens Stein,Pietra di Steven,Pedra de Steven,,,スティーブンストーン,
ITEM_STEVENSTONE_DESC,Your collarless spells cost -2 mana.,,Los hechizos sin collar cuestan -2 de maná.,Vos sorts sans collier coûtent -2&nbsp;mana.,Deine klassenlosen Zauber kosten -2&nbsp;Mana.,I tuoi incantesimi dei Senza Collare costano -2 mana.,Seus encantamentos sem coleira custam -2 de mana.,,,カラーなしスペルの​コスト-2マナ。[b][/b],
ITEM_STEVENTRINKET1_NAME,Steven,,Steven,Steven,Steven,Steven,Steven,,,スティーブン,
ITEM_STEVENTRINKET1_DESC,Your basic attack inflicts Slow and has a +10% chance to Freeze.You can damage frozen units.,,El ataque básico inflige ralentización y tiene +10 % de probabilidad de congelar.Puede dañar a las unidades congeladas.,Votre attaque de base inflige Lenteur et a +10&nbsp;% de chances d'infliger Gel.Vous pouvez infliger des dégâts aux unités gelées.,"Dein Grundangriff verursacht Verlangsamung und hat eine +10%ige Wahrscheinlichkeit, Frost zu verursachen.Du kannst Schaden bei eingefrorenen Einheiten verursachen.",Il tuo attacco base infligge Rallentamento e ha un +10% di probabilità di infliggere Congelamento.Puoi infliggere danno alle unità congelate.,Seu ataque básico aplica lentidão e possui +10% de chance de aplicar congelamento.Você pode causar dano a unidades congeladas.,,,基本攻撃が​スロウを​与え、​凍結させる​確率+10%。​凍結した​ユニットに​ダメージを​与えられる。[b][/b],
ITEM_STEVENTRINKET2_NAME,Steven,,Steven,Steven,Steven,Steven,Steven,,,スティーブン,
ITEM_STEVENTRINKET2_DESC,Your basic attack inflicts Confusion.,,El ataque básico inflige confusión.,Votre attaque de base inflige Confusion.,Dein Grundangriff verursacht Verwirrung.,Il tuo attacco base infligge Confusione.,Seu ataque básico aplica confusão.,,,基本攻撃が​混乱を​与える。,
ITEM_STICKMAN_NAME,Stickman,,Monigote,Bonhomme bâton,Astfigur,Stickman,Boneco de Palitinho,,,スティックマン,
ITEM_STICKMAN_DESC,Gain All Stats Up when you deal damage to a party member.,,Obtiene aumento total al infligir daño a un miembro del grupo.,Hausse de stats quand vous infligez des dégâts à un membre de l'équipe.,"Erhalte einen Bonus auf alle Attribute, wenn du Schaden bei einem Gruppenmitglied verursachst.",Ottieni Aumento delle Statistiche quando infliggi danno a un membro del gruppo.,Obtenha todos os atributos aumentados ao causar dano a um membro da sua equipe.,,,パーティーメンバーに​ダメージを​与えると​全ステータス上昇を​獲得する。[b][/b],
ITEM_STRANGEMARBLE_NAME,Strange Marble,,Canica extraña,Bille étrange,Komische Murmel,Strana Biglia,Bolinha de Gude Estranha,,,奇妙な​大理石,
ITEM_STRANGEMARBLE_DESC,Your basic attack inflicts Mana Leech 1.,,El ataque básico inflige 1 de sanguijuela de maná.,Votre attaque de base inflige Sangsue de mana +1.,Dein Grundangriff verursacht Manablutegel&nbsp;1.,Il tuo attacco base infligge Assorbimento Mana 1.,Seu ataque básico aplica sanguessuga de mana 1.,,,基本攻撃が​マナリーチ1を​与える。[b][/b],
ITEM_TANKJUICE_NAME,Tank Juice,,Jugo tanquerizado,Élixir de tank,Tanksaft,Energia Corazzata,Suco de Tanque,,,戦車ジュース,
ITEM_TANKJUICE_DESC,"Use: Gain -1 [img:spd], then, for the rest of the turn, all damage you deal has Knockback 2 and Chain Knockback.",,"Uso: Obtiene -1 [img:spd], luego, hasta el final del turno, todo el daño infligido tiene 2 de retroceso y retroceso encadenado.","Utilisation&nbsp;: [img:spd] -1, puis, pour le reste du tour, les dégâts que vous infligez appliquent Recul +2&nbsp;et Recul en chaîne.",Benutzen: Erhalte -1&nbsp;[img:spd]. Für den Rest des Zuges hat dein Schaden Rückstoß&nbsp;2 und Kettenrückstoß.,"Uso: Ottieni -1 alla [img:spd], poi, per il resto del turno, tutto il danno che infliggi ha Contraccolpo 2 e Contraccolpo a Catena.","Uso: obtenha -1 de [img:spd] e, então, pelo resto do turno, todo o dano causado por você possui empurrão 2 e empurrão encadeado.",,,使用:-1[img:spd]を​獲得し、​その後、​ターン終了まで​与える​全ダ​メージが​ノックバック2と​チェーンノックバックを​持つ。,
ITEM_TANKTOY_NAME,Tank Toy,,Tanque de juguete,Tank miniature,Panzerspielzeug,Giocattolo Corazzato,Brinquedo de Tanque,,,戦車おもちゃ,
ITEM_TANKTOY_DESC,Trample.,,Inflige pisotón.,Piétinement.,Trampel.,Calpestamento.,Atropelamento.,,,踏みつけ。,
ITEM_TAROTDECK_NAME,Tarot Deck,,Baraja del tarot,Jeu de tarot,Tarotkarten,Mazzo di Tarocchi,Baralho de Tarô,,,タロットデッキ,
ITEM_TAROTDECK_DESC,"Use: Conjure a random, single-use spell as a bonus ability.",,Uso: Invoca un hechizo de un solo uso al azar como habilidad de bonificación.,Utilisation&nbsp;: compétence bonus lançant un sort aléatoire à usage unique.,"Benutzen: Beschwöre einen zufälligen Zauber, der einmal verwendet werden kann, als Bonusfähigkeit.",Uso: Evochi un incantesimo casuale monouso come abilità bonus.,Uso: conjure um encantamento aleatório de uso único como habilidade bônus.,,,使用:ランダムな​使い捨て​スペルを​ボーナスアビリティと​して​作り出す。[b][/b],
ITEM_TECHNOLOGY_NAME,Technology,,Tecnología,Technologie,Technokram,Tecnologia,Tecnologia,,,テクノロジー,
ITEM_TECHNOLOGY_DESC,Use: Shoot a laser beam.[s:.7](Usable once per battle.)[/s]Refreshes when affected by Electricity.,,Uso: Dispara un rayo láser.[s:.7](Disponible una vez por combate).[/s]Se restaura con los efectos de la electricidad.,"Utilisation&nbsp;: tire un rayon laser.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]Affecté par l'électricité, se réinitialise.","Benutzen: Schieße einen Laserstrahl.[s:.7](Einmal pro Kampf verwendbar.)[/s]Wird aufgefrischt, wenn sie mit Elektrizität getroffen wird.",Uso: Spari un raggio laser.[s:.7](Utilizzabile una volta per battaglia.)[/s]Si ricarica quando è sotto effetto di Elettricità.,Uso: dispare um raio laser.[s:.7](Um uso por batalha.)[/s]Reinicia-se ao sofrer efeitos de eletricidade.,,,使用:レーザービームを​撃つ。[s:.7](バトルごとに​1回使用可能)[/s]電気の​影響を​受けると​リフレッシュ。,
ITEM_TELEPORT_NAME,Teleport!,,Teletransporte,Téléporteur,Teleport!,Teletrasporto!,Teletransporte!,,,テレポート!,
ITEM_TELEPORT_DESC,Use: Teleport to any open tile.[s:.7](Usable once per battle.)[/s],,Uso: Se teletransporta a cualquier casilla vacía.[s:.7](Disponible una vez por combate).[/s],Utilisation&nbsp;: vous téléporte sur n'importe quelle case.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s],Benutzen: Teleportiere dich auf ein beliebiges freies Feld.[s:.7](Einmal pro Kampf verwendbar.)[/s],Uso: Ti teletrasporti in qualsiasi casella libera.[s:.7](Utilizzabile una volta per battaglia.)[/s],Uso: teletransporte-se para qualquer espaço aberto.[s:.7](Um uso por batalha.)[/s],,,使用:任​意の​空きタイルに​テレポートする。[s:.7](バトルごとに​1回使用可能)[/s],
ITEM_TINKERTOOLS_NAME,Tinker Tools,,Herramientas de manitas,Outils de bricolo,Bastlerwerkzeug,Attrezzi dell'Inventore,Ferramentas de Artífice,,,修理工具,
ITEM_TINKERTOOLS_DESC,Repair 1 use to your items at the end of each battle.,,Repara 1 uso de los objetos al final de cada combate.,Utilisation +1&nbsp;pour l'un de vos objets à la fin de chaque combat.,Stelle am Ende des Kampfes 1&nbsp;Anwendung deiner Gegenstände wieder her.,Ripristini 1 utilizzo ai tuoi oggetti alla fine di ogni battaglia.,Restaure 1 uso de seus itens no final de cada batalha.,,,各バトル終了時に​アイテムの​使用回数を​1回復する。[b][/b],
ITEM_TINYCAGE_NAME,Tiny Cage,,Jaula diminuta,Cage minuscule,Winziger Käfig,Gabbia Piccola,Gaiola Pequena,,,小さな​檻,
ITEM_TINYCAGE_DESC,Spawn a random animal familiar at the start of each battle.,,Genera un familiar animal al azar al inicio de cada combate.,Invoque un familier aléatoire au début de chaque combat.,Rufe am Anfang jedes Kampfes einen zufälligen Tierbegleiter.,Generi un famiglio animale casuale all'inizio di ogni battaglia.,Gere uma familiar animal aleatório no início de cada batalha.,,,各バトル開始時に​ランダムな​動物の​使い魔を​召喚する。[b][/b],
ITEM_TINYPEBBLE_NAME,Tiny Pebble,,Guijarro chiquitín,Galet minuscule,Winziger Kiesel,Ciottolo Piccolo,Seixo Minúsculo,,,小石,
ITEM_TINYPEBBLE_DESC,+10% Dodge Chance.Gain +2% Dodge Chance when you dodge an attack.,,+10 % de probabilidad de esquiva.Obtiene +2 % de probabilidad de esquiva al esquivar un ataque.,Chances d'esquive +10&nbsp;%.Chances d'esquive +2&nbsp;% quand vous esquivez une attaque.,"+10&nbsp;% Ausweichchance.Erhalte +2&nbsp;% Ausweichchance, wenn du einem Angriff ausweichst.",+10% di probabilità di schivata.Ottieni un +2% di probabilità di schivata quando schivi un attacco.,+10% de chance de esquiva.Obtenha +2% de chance de esquiva ao esquivar-se de um ataque.,,,+10%回避率。​攻撃を​回避する​たびに​+2%回避率を​獲得する。[b][/b],
ITEM_TOOLBOX_NAME,Tool Box,,Caja de herramientas,Boîte à outils,Werkzeugkiste,Cassetta degli Attrezzi,Caixa de Ferramentas,,,工具箱,
ITEM_TOOLBOX_DESC,Your items lose Brittle and Fragile.Your weapons have a 25% chance to repair 1 use when used.,,Los objetos pierden endeblez y fragilidad.Las armas tienen un 25 % de probabilidad de recuperar 1 uso al emplearlas.,"Vos objets ne sont plus Cassants ni Fragiles.En utilisant votre arme, 25&nbsp;% de chances qu'elle récupère 1&nbsp;utilisation.","Deine Gegenstände verlieren Spröde und Zerbrechlich.Deine Waffen stellen mit 25%iger Wahrscheinlichkeit 1&nbsp;Anwendung wieder her, wenn du sie benutzt.",I tuoi oggetti perdono Friabilità e Fragilità.Le tue armi hanno il 25% di probabilità di ripristinare 1 utilizzo quando vengono usate.,Seus itens deixam de ser quebradiços e frágeis.Suas armas possuem 25% de chance de restaurar 1 uso ao serem utilizadas.,,,アイテムの​脆弱と​壊れやすいを​失う。​武器使用時、​25%の​確率で​使用回数を​1回復する。[b][/b],
ITEM_TRIACHNID_NAME,Triachnid,,Triácnido,Triachnide,Triachnid,Triachnid,Triacnídeo,,,トリアクニド,
ITEM_TRIACHNID_DESC,Spawn Triachnid at the start of each battle.,,Genera a Triácnido al inicio de cada combate.,Invoque un triachnide au début de chaque combat.,Rufe am Anfang jedes Kampfes einen Triachniden.,Genera Triachnid all'inizio di ogni battaglia.,Gere um triacnídeo no início de cada batalha.,,,各バトル開始時に​トリアクニドを​召喚する。[b][/b],
ITEM_TV_NAME,TV,,Caja tonta,Télévision,TV,TV,TV,,,テレビ,
ITEM_TV_DESC,Your bonus ability is Waste Time.,,La habilidad de bonificación es la pérdida de tiempo.,Votre compétence bonus devient Procrastination.,Deine Bonusfähigkeit ist Zeit verschwenden.,La tua abilità bonus è Perdita di Tempo.,Obtenha Desperdiçar Tempo como habilidade bônus.,,,ボーナスアビリティが​時間の​無駄に​なる。[b][/b],
ITEM_VIBRATINGSKULL_NAME,Vibrating Skull,,Calavera vibrante,Crâne vibrant,Vibrierender Schädel,Teschio Vibrante,Crânio Vibrante,,,振動する​頭蓋骨,
ITEM_VIBRATINGSKULL_DESC,Your basic attack inflicts Magic Weakness 1.,,El ataque básico inflige 1 de debilidad mágica.,Votre attaque de base inflige Vulnérabilité magique +1.,Dein Grundangriff verursacht Magieschwäche&nbsp;1.,Il tuo attacco base infligge Debolezza Magica 1.,Seu ataque básico aplica fraqueza contra magia 1.,,,基本攻撃が​魔法弱点1を​与える。[b][/b],
ITEM_VIDEOGAMECART_NAME,Video Game Cart,,Cartucho de videojuegos,Cartouche de jeu,Videospielkassette,Cartuccia per Videogiochi,Carrinho de Video Game,,,ビデオゲームカートリッジ,
ITEM_VIDEOGAMECART_DESC,It's broken.,,Se ha escacharrado.,Elle est cassée.,Sie ist kaputt.,È rotta.,Está quebrado.,,,壊れている。,
ITEM_WAFER_NAME,Wafer,,Hostia,Pastille,Hostie,Wafer,Wafer,,,ウエハース,
ITEM_WAFER_DESC,,,,,,,,,,,
ITEM_WATERBOTTLEFULL_NAME,Water Bottle,,Botella de agua,Bouteille d'eau,Wasserflasche,Bottiglia d'Acqua,Garrafa de Água,,,水筒,
ITEM_WATERBOTTLEFULL_DESC,Use: Heal +5 HP and gain Heatwave immunity.Refills when affected by Water Element effects.,,Uso: Esta unidad recupera +5 PS y obtiene inmunidad a las olas de calor.Se recarga con los efectos de elemento de agua.,Utilisation&nbsp;: rend 5&nbsp;PV et confère Immunité aux vagues de chaleur.Se recharge lorsqu'affecté par des effets d'eau.,Benutzen: Heile dich um 5&nbsp;LP und werde immun gegen Hitzewelle.,Uso: Recuperi +5 PS e ottieni immunità a Ondata di Calore.Si ricarica quando sei sotto l'influenza di effetti dell'elemento acqua.,Uso: cure 5 PV e obtenha imunidade contra ondas de calor.Enche-se novamente ao ser afetada por efeitos do elemento água.,,,使用:+5 HP回復し熱​波耐性を​獲得する。​水属性​効果を​受けると​再充填される。[b][/b],
ITEM_WATERBOTTLEHALF_NAME,Water Bottle,,Botella de agua,Bouteille d'eau,Wasserflasche,Bottiglia d'Acqua,Garrafa de Água,,,水筒,
ITEM_WATERBOTTLEHALF_DESC,Use: Heal +5 HP and gain Heatwave immunity.Refills when affected by Water Element effects.,,Uso: Esta unidad recupera +5 PS y obtiene inmunidad a las olas de calor.Se recarga con los efectos de elemento de agua.,Utilisation&nbsp;: rend 5&nbsp;PV et confère Immunité aux vagues de chaleur.Se recharge lorsqu'affecté par des effets d'eau.,Benutzen: Heile dich um 5&nbsp;LP und werde immun gegen Hitzewelle.,Uso: Recuperi +5 PS e ottieni immunità a Ondata di Calore.Si ricarica quando sei sotto l'influenza di effetti dell'elemento acqua.,Uso: cure 5 PV e obtenha imunidade contra ondas de calor.Enche-se novamente ao ser afetada por efeitos do elemento água.,,,使用:+5 HP回復し熱​波耐性を​獲得する。​水属性​効果を​受けると​再充填される。[b][/b],
ITEM_WATERBOTTLEEMPTY_NAME,Empty Water Bottle,,Botella de agua vacía,Bouteille d'eau vide,Leere Wasserflasche,Bottiglia d'Acqua Vuota,Garrafa de Água Vazia,,,空の​水筒,
ITEM_WATERBOTTLEMPTY_DESC,Use: Throw it at something.Refills when affected by Water Element effects.,,Uso: Lánzala contra algo.Se rellena con los efectos de elemento de agua.,"Utilisation&nbsp;: se lance à la tronche des ennemis.Affecté par des effets d'eau, se remplit.","Benutzen: Wirf sie auf etwas.Wird wieder aufgefüllt, wenn sie von Wassereffekten betroffen wird.",Uso: La lanci contro qualcosa.Si ricarica quando sei sotto l'influenza di effetti dell'elemento acqua.,Uso: jogue-a em algo.Enche-se novamente ao ser afetada por efeitos do elemento água.,,,使用:​何かに​投げる。​水属性​効果を​受けると​再充填される。[b][/b],
ITEM_WEIGHT_NAME,Weight,,Pesa,Poids,Gewicht,Peso,Peso,,,重り,
ITEM_WEIGHT_DESC,Trample. Take your turn later.,,Pisotón. Juega el turno más tarde.,Piétinement. Vous jouez votre tour plus tard.,Trampel. Du bist später am Zug.,Calpestamento. Effettui il tuo turno più tardi.,Atropelamento. Use seu turno mais tarde.,,,踏みつけ。​ターンを​遅く​開始する。[b][/b],
ITEM_WEIRDEGG_NAME,Weird Egg,,Huevo raro,Œuf étrange,Komisches Ei,Strano Uovo,Ovo Estranho,,,変な​卵,
ITEM_WEIRDEGG_DESC,10% chance to spawn a controllable Fetus familiar at the end of each turn. It joins your party.,,10 % de probabilidad de generar un familiar feto controlable al final de cada turno que se une al grupo.,10&nbsp;% de chances d'invoquer un fœtus de compagnie contrôlable à la fin de chaque tour. Il se joint à votre équipe.,"10%ige Wahrscheinlichkeit, am Ende der Runde einen Fötusbegleiter zu rufen. Er tritt deiner Gruppe bei.",10% di probabilità di generare un famiglio Feto controllabile alla fine di ogni turno. Si unisce al tuo gruppo.,10% de chance de gerar um familiar feto controlável no final de cada turno. Ele passa a fazer parte da sua equipe.,,,各ターン終了時に​10%の​確率で​操作可能な​胎児の​使い魔を​召喚する。​パーティーに​加わる。[b][/b],
ITEM_WHISTLE_NAME,Whistle,,Silbato,Sifflet,Trillerpfeife,Fischietto,Apito,,,笛,
ITEM_WHISTLE_DESC,"Use: Summon a Fly, Maggot or Flea familiar.[s:.7](Usable once per battle.)[/s]",,"Uso: Invoca un familiar mosca, gusano o pulga.[s:.7](Disponible una vez por combate).[/s]","Utilisation&nbsp;: invoque une mouche, un asticot, ou une puce de compagnie.[s:.7](Utilisable 1&nbsp;fois par combat.)[/s]","Benutzen: Beschwöre einen Fliegen-, Maden- oder Flohbegleiter.[s:.7](Einmal pro Kampf verwendbar.)[/s]","Uso: Evochi un famiglio Mosca, Larva o Pulce.[s:.7](Utilizzabile una volta per battaglia.)[/s]","Uso: invoque um familiar mosca, verme ou pulga.[s:.7](Um uso por batalha.)[/s]",,,使用:ハエ、​ウジ、​または​ノミの​使い魔を​召喚する。[s:.7](バトルごとに​1回使用可能)[/s],
ITEM_WIZCHEESE_NAME,Wiz Cheese,,Queso cremoso,Cheddar à tartiner,Delphia Phil,Formaggio Spalmabile,Queijo Wiz,,,ウィズチーズ,
ITEM_WIZCHEESE_DESC,,,,,,,,,,,
ITEM_THEBOXCARDBOARD_NAME,The Box,,La Caja,La Boîte,Die Box,La Scatola,A Caixa,,,箱,
ITEM_THEBOXCARDBOARD_DESC,Find an extra chapter item at the end of each battle.,,Encuentra un objeto extra del capítulo al final de cada combate.,Vous obtenez un objet de chapitre bonus à la fin de chaque combat.,Finde am Ende jedes Kampfes einen zusätzlichen Gegenstand aus dem jeweiligen Kapitel.,Trovi un oggetto aggiuntivo del capitolo alla fine di ogni battaglia.,Encontre um item de capítulo adicional no final de cada batalha.,,,各バトル終了時に​追加の​チャプターアイテムを​発見する。[b][/b],
ITEM_THEBOXCHEST_NAME,The bOx,,La cAja,La bOîte,Die bOx,La sCATola,A cAiXa,,,函,
